CaseBarcode,CorepackBarcode,OrderId,RequestDate,Core Pack check,Result_DAQ,CH8_V,CH9_V,CH10_V,CH11_V,CH12_V,TempMaxThr,TempMinThr,VoltDiffThr,VoltMaxThr,VoltMinThr,Result_ETEST,ACIR,DCIR,OCVoltage,Ah,PackageTime
FR07254001448,7254001448,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/29 16:40:42
FR07254001449,7254001449,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,,2025/12/22 10:09:05
FR07254001450,7254001450,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.48,,2025/12/31 09:55:14
FR07254001451,7254001451,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/29 12:35:53
FR07254001452,7254001452,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2026/01/05 16:43:33
FR07254001453,7254001453,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.502,3.502,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/19 16:53:09
FR07254001454,7254001454,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/26 16:17:14
FR07254001455,7254001455,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/24 12:05:30
FR07254001456,7254001456,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/19 17:03:41
FR07254001457,7254001457,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.47,,2025/12/12 16:38:34
FR07254001458,7254001458,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.501,3.502,3.502,35,15,0.005,4.2,3,PASS,0.029,0.055,17.48,,2025/12/11 12:19:56
FR07254001459,7254001459,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/29 15:11:23
FR07254001460,7254001460,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.502,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/23 11:56:44
FR07254001461,7254001461,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.059,17.49,,2025/12/11 10:46:21
FR07254001462,7254001462,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/22 16:45:21
FR07254001463,7254001463,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/08 17:17:11
FR07254001464,7254001464,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/11 13:15:40
FR07254001465,7254001465,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.058,17.49,,2025/12/16 10:06:44
FR07254001466,7254001466,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.502,3.503,3.502,35,15,0.005,4.2,3,PASS,0.029,0.057,17.49,,2025/12/12 16:02:05
FR07254001467,7254001467,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,,2025/12/09 10:07:30
FR07254001468,7254001468,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2025/12/11 17:17:44
FR07254001469,7254001469,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/31 17:11:20
FR07254001470,7254001470,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.502,3.501,35,15,0.005,4.2,3,PASS,0.029,0.058,17.47,,2025/12/11 16:52:49
FR07254001471,7254001471,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.48,,2025/12/12 13:27:48
FR07254001472,7254001472,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.502,3.502,3.503,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/29 16:02:34
FR07254001473,7254001473,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.502,3.501,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2026/01/05 13:22:16
FR07254001474,7254001474,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.502,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.5,,2025/12/23 09:52:27
FR07254001475,7254001475,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.503,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/12 14:03:53
FR07254001476,7254001476,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/08 09:41:27
FR07254001477,7254001477,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2025/12/30 11:39:14
FR07254001478,7254001478,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/15 10:07:34
FR07254001479,7254001479,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.5,,2025/12/26 12:35:18
FR07254001480,7254001480,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2026/01/05 17:13:38
FR07254001481,7254001481,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/09 16:49:39
FR07254001482,7254001482,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/24 12:42:45
FR07254001483,7254001483,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/08 10:16:16
FR07254001484,7254001484,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.057,17.49,,2025/12/18 16:05:26
FR07254001485,7254001485,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.48,,2025/12/23 14:03:27
FR07254001486,7254001486,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/23 17:09:44
FR07254001487,7254001487,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/16 09:48:25
FR07254001488,7254001488,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/30 11:34:43
FR07254001489,7254001489,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/11 15:10:22
FR07254001490,7254001490,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.48,,2026/01/02 10:50:18
FR07254001491,7254001491,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/15 10:47:18
FR07254001492,7254001492,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/18 12:45:23
FR07254001493,7254001493,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/15 12:18:21
FR07254001494,7254001494,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/22 15:38:54
FR07254001495,7254001495,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/11 09:56:45
FR07254001496,7254001496,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,,2025/12/29 17:30:40
FR07254001497,7254001497,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.051,17.48,,2025/12/17 17:27:02
FR07254001498,7254001498,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.502,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/31 12:31:41
FR07254001499,7254001499,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/23 12:54:15
FR07254001500,7254001500,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/10 17:00:04
FR07254001501,7254001501,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/10 10:53:17
FR07254001502,7254001502,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.502,3.5,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/31 11:43:12
FR07254001503,7254001503,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/10 11:41:24
FR07254001504,7254001504,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.052,17.47,,2025/12/10 11:19:50
FR07254001505,7254001505,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.502,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.055,17.48,,2025/12/15 13:33:40
FR07254001506,7254001506,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.502,3.502,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/19 13:57:27
FR07254001507,7254001507,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.501,3.502,3.501,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2026/01/02 09:51:53
FR07254001508,7254001508,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.501,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.059,17.49,,2025/12/15 09:58:33
FR07254001509,7254001509,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/31 09:54:24
FR07254001510,7254001510,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.502,3.502,3.502,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/23 10:06:47
FR07254001511,7254001511,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2026/01/05 12:51:30
FR07254001512,7254001512,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.058,17.49,,2025/12/10 14:48:34
FR07254001513,7254001513,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.057,17.49,,2025/12/30 14:03:51
FR07254001514,7254001514,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,,2025/12/08 14:04:14
FR07254001515,7254001515,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2025/12/15 12:54:26
FR07254001516,7254001516,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/09 13:20:54
FR07254001517,7254001517,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.058,17.47,,2025/12/12 11:53:26
FR07254001518,7254001518,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.48,,2025/12/26 13:36:58
FR07254001519,7254001519,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/19 09:36:36
FR07254001520,7254001520,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2025/12/18 09:34:35
FR07254001521,7254001521,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.502,3.502,35,15,0.005,4.2,3,PASS,0.029,0.054,17.5,,2025/12/29 09:43:38
FR07254001522,7254001522,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/31 10:36:47
FR07254001523,7254001523,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.502,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2025/12/26 14:20:28
FR07254001524,7254001524,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/23 10:10:31
FR07254001525,7254001525,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.5,,2025/12/30 16:39:30
FR07254001526,7254001526,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/09 11:43:00
FR07254001527,7254001527,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.502,3.5,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/09 17:20:02
FR07254001528,7254001528,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/19 13:39:50
FR07254001529,7254001529,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/18 15:58:35
FR07254001530,7254001530,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.502,3.501,35,15,0.005,4.2,3,PASS,0.029,0.057,17.49,,2025/12/11 10:55:36
FR07254001531,7254001531,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.054,17.48,,2025/12/09 13:01:27
FR07254001532,7254001532,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.499,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/24 10:57:12
FR07254001533,7254001533,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/12 13:36:35
FR07254001534,7254001534,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/10 14:29:09
FR07254001535,7254001535,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.502,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/26 10:25:05
FR07254001536,7254001536,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.48,,2025/12/19 16:20:26
FR07254001537,7254001671,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/09 12:34:18
FR07254001538,7254001672,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2026/01/02 09:32:17
FR07254001539,7254001673,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.503,3.503,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/10 10:20:36
FR07254001540,7254001674,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/29 09:42:00
FR07254001541,7254001675,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/26 13:56:49
FR07254001542,7254001676,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,,2025/12/12 17:23:10
FR07254001543,7254001677,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.48,,2025/12/16 17:24:32
FR07254001544,7254001678,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/18 09:40:35
FR07254001545,7254001679,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.502,3.502,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/08 17:03:33
FR07254001546,7254001680,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/16 15:17:53
FR07254001547,7254001681,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.502,3.502,35,15,0.005,4.2,3,PASS,0.029,0.058,17.47,,2025/12/16 15:47:46
FR07254001548,7254001682,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.499,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.48,,2025/12/26 12:29:04
FR07254001549,7254001683,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/08 15:04:47
FR07254001550,7254001684,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.502,3.5,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2025/12/10 15:19:55
FR07254001551,7254001685,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.5,,2025/12/09 12:35:07
FR07254001552,7254001686,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/17 15:11:34
FR07254001553,7254001687,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,,2026/01/02 16:11:58
FR07254001554,7254001688,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.502,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/17 10:11:41
FR07254001555,7254001689,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.5,,2025/12/08 14:22:06
FR07254001556,7254001690,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/18 14:06:38
FR07254001557,7254001691,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/09 13:08:57
FR07254001558,7254001692,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/16 17:11:33
FR07254001559,7254001693,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/11 14:04:24
FR07254001560,7254001694,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.057,17.49,,2026/01/05 10:17:31
FR07254001561,7254001695,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.054,17.48,,2025/12/23 15:11:01
FR07254001562,7254001696,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/17 14:41:21
FR07254001563,7254001697,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/09 13:00:24
FR07254001564,7254001698,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/17 10:34:20
FR07254001565,7254001699,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/15 11:47:55
FR07254001566,7254001700,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.48,,2025/12/09 10:16:54
FR07254001567,7254001701,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/10 10:36:52
FR07254001568,7254001702,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/19 10:55:12
FR07254001569,7254001703,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.502,3.502,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2026/01/02 17:13:53
FR07254001570,7254001704,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/30 12:56:22
FR07254001571,7254001705,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/29 11:50:50
FR07254001572,7254001706,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.502,3.503,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,,2025/12/11 14:37:15
FR07254001573,7254001707,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.051,17.48,,2026/01/05 11:20:42
FR07254001574,7254001708,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/08 17:05:49
FR07254001575,7254001709,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.5,3.499,3.5,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,,2025/12/23 16:08:49
FR07254001576,7254001710,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.502,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/22 16:06:11
FR07254001577,7254001711,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,,2025/12/26 13:04:05
FR07254001578,7254001712,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.49,,2025/12/09 13:42:43
FR07254001579,7254001537,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.501,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/09 12:07:19
FR07254001580,7254001538,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.501,3.502,3.501,3.502,35,15,0.005,4.2,3,PASS,0.029,0.052,17.47,,2025/12/30 15:14:24
FR07254001581,7254001539,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.501,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.055,17.48,,2025/12/15 16:32:31
FR07254001582,7254001540,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.5,3.5,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/09 15:59:26
FR07254001583,7254001541,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.502,3.502,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.056,17.49,,2025/12/19 17:20:54
FR07254001584,7254001542,5112-20250923001,2026/01/06,PASS,PASS,3.5,3.5,3.5,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.059,17.49,,2025/12/16 14:23:04
FR07254001585,7254001543,5112-20250923001,2026/01/06,PASS,PASS,3.501,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,,2025/12/10 09:49:43
FR07254001586,7254001544,5112-20250923001,2026/01/06,PASS,PASS,3.501,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,,2026/01/02 17:07:06
